rok,miasto,nazwa
2020,GDYNIA,"Cotygodniowe zajęcia ruchowe poprawiające prawidłowe funkcjonowanie kręgosłupa i innych stawów dla każdego, z przerwą wakacyjną"
2020,GDYNIA,Cykl pokazów filmowych w plenerze pod gwiazdami
2020,GDYNIA,Łąki kwietne na trawnikach przy ul. Zakręt do Oksywia oarz ul. Opata Hackiego -  róg z ul.Dantyszka
2020,GDYNIA,Treningi siłowe i cardio oraz zumba dla każdego mieszkańca dzielnicy
2020,GDYNIA,Cykliczne zajęcia Nordic Walking
2020,GDYNIA,Cykl pokazów filmowych w plenerze
2020,GDYNIA, ogólnodostępnych defibrylatorów AED - montaż oraz przeszkolenie  mieszkańców dzielnicy
2020,GDYNIA,Cykliczne zajęcia ruchowe - Samoobrona dla kobiet
2020,GDYNIA,"Boisko rolkowo-wrotkarskie do nauki jazdy na rolkach i wrotkach, gry w hokeja na rolkach, unihokeja na boisku przy Szkole Podstawowej nr "
2020,GDYNIA,Cykliczne zajęcia dla dzieci i rodziców- zajęcia ogólnorozwojowe dla dzieci w wieku -msc oraz  warsztaty chustonoszenia
2020,GDYNIA,Zajęcia rekreacyjno-ruchowe dla dzieci w dwóch grupach wiekowych w okresie jesienno-zimowym.
2020,GDYNIA,Defibrylatory AED w gdyńskiej komunikacji miejskiej
2020,GDYNIA,"Warsztaty wspomagające koncentrację, pamięć i proces skutecznego uczenia się dla dzieci"
2020,GDYNIA,Wyjazd integracyjny do lasu dla zabawy i nauki
2020,GDYNIA,Zabawa z mapą - gra terenowa na orientację (Mały Kack)
2020,GDYNIA,Organizacja imprezy biegowej dla dzieci i młodzieży
2020,GDYNIA,Szkolenie dla mieszkańców z zakresu dostępu do informacji publicznej i działań kontrolujących władzę na poziomie lokalnym (działania typu watchdog)
2020,GDYNIA,Montaż elementów uspokojenia ruchu samochodowego na skrzyżowaniu ul. Sojowej z ul. Słonecznikową w celu poprawy bezpieczeństwa pieszych
2020,GDYNIA,Akcja społeczno - edukacyjna skierowana do mieszkańców Grabówka mająca na celu zachęcenie właścicieli psów do  sprzątania po swoich czworonogach
2020,GDYNIA,Miasteczko ruchu drogowego przy Szkole Podstawowej nr  w Gdyni (ul.Halicka )
2020,GDYNIA,Nowoczesne i estetyczne ławki wzdłuż ulicy Nałkowskiej
2020,GDYNIA,Nowoczesne i estetyczne ławki dla ulicy Górniczej
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Pogórze rozwijające pamięć i koncentrację
2020,GDYNIA,Cykliczne warsztaty dla seniorów z dzielnicy Oksywie rozwijające pamięć i koncentrację
2020,GDYNIA,Kino plenerowe na Chyloni - projekcja czterech filmów w Parku Kilońskim
2020,GDYNIA,Doposażenie placu zabaw dla dzieci młodszych i starszych przy ul. Komandorskiej
2020,GDYNIA,"Gry i zabawy z mapą i kompasem –  imprezy dla młodych, starszych i najstarszych w dzielnicy Chwarzno – Wiczlino"
2020,GDYNIA,Gry i zabawy z mapą i kompasem – cykliczne zajęcia dla najmłodszych na Dąbrowie
2020,GDYNIA,"Spotkania podróżnicze, spacery i spotkania dotyczące Gdyni oraz dzielnicy Wzgórze Św. Maksymiliana w Bibliotece Wiedzy"
2020,GDYNIA,Nasadzenie szpaleru drzew wzdłuż ulicy Boisko
2020,GDYNIA,"Letnie, plenerowe kino w Redłowie - projekcja trzech filmów w dwóch terminach"
2020,GDYNIA,"Łąki kwietne w Redłowie - estetyzacja podwórek w obrębie ulic Powstania Wielkopolskiego, Powstania Śląskiego"
2020,GDYNIA,Sobotnie zajęcia sportowe na świeżym powietrzu
2020,GDYNIA,Plac zabaw przy szkole SP 
2020,GDYNIA,Festyn dzielnicowy patrona Szkoły Podstawowej nr  wraz z paradą święta ulicy Chylońskiej
2020,GDYNIA,Park kieszonkowy - ul. Harcerska
2020,GDYNIA,"Ochrona powietrza - pakiet działań na rzecz poprawy jakości życia w Gdyni (m.in. wymiana pieców, samochodowy analizator spalin)"
2020,GDYNIA,Montaż automatycznego zewnętrznego defibrylatora (AED) oraz szkolenia z zakresu resuscytacji krążeniowo-oddechowej z wykorzystaniem AED dla  mieszkańców dzielnicy
