token,occurrence,emotion
temat,2,[]
tawuła,2,[]
tato,2,[]
tarasów,2,[]
taras,2,[]
take,2,[]
tabelek,2,[]
słupy,2,[]
słowackiego,2,[]
sąsiada,2,[]
sącz,2,[]
szyb,2,[]
szrotówkiem,2,[]
szpalerów,2,[]
szkło,2,[]
szkołami,2,[]
szeregów,2,['radość;zaufanie;smutek;złość;']
szczęśliwice,2,[]
szczęśliwicach,2,[]
szczytniki,2,[]
szczurów,2,[]
systemu,2,[]
sybiraków,2,[]
sw,2,[]
suchanino,2,[]
studni,2,[]
struga,2,[]
stronę,2,[]
strona,2,[]
strachocinswojczycewojnów,2,[]
story,2,[]
stokisikawapodgórze,2,[]
stoch,2,[]
sterylizacji,2,[]
sterlinga,2,[]
steffensów,2,[]
stefańskiego,2,[]
staszica,2,[]
stanu,2,[]
stacje,2,[]
srodowiska,2,[]
srodmiescia,2,[]
sprzet,2,[]
sprawie,2,[]
sprawa,2,[]
spotkan,2,[]
sposobu,2,[]
spokoju,2,[]
spiewajaca,2,[]
sołtysowice,2,[]
sosnowca,2,[]
solidarności,2,[]
